Question Number,Answer 1,Answer 2,Similarity Score,Marks Obtained
1.11,"public administration is the moving pattern of bureaucrats upon laws, Codes of conduct to save for public and to achieve common goal. It working for public","public administration is the moving pattern of bureaucrats upon laws, Codes of conduct to save for public and to achieve common goal. It working for public",1.0,5
1.12,It means the working scenario of group of people by utilizing human and material resources in such a way to tackle Socio - econmic change.,It means the working scenario of group of people by utilizing human and material resources in such a way to tackle Socio - econmic change.,1.0,5
1.13,"Authority lies in Position, Power lies in Person. Authority is due to law, codes, power is due to fear, effort Authority Is dynamic, power remain is perm long lasting","Authority lies in Position, Power les i n Person. Authority is due to law, codes, power is due to fear, effort Authority Is dynamic, power remain is perm long lasting",0.9602,5
1.15,"This concept is aspect of Public administration that works for socio- economic development, accountable for Public and is goal and client oriented.","This concept is aspect of Public administration that works for socio-economic development, accountable for Public and is goal and client oriented.",1.0,5
2.1,"Its was came in 1913 for the creation of decentralised democracy. feature: - 1. Creation of panchayati Raj institution 2. Added 11th schedule with functional items and article 242 (G) 3. It created three tier panchayats at village, district and block level. 4. Empowerd panchayats of taxation and creating village counts.","Its was came i n 1913 for the creation of decentralised democracy. feature: - 1. Creation of panchayati Raj institution 2. Added 11th schedule with functional items and article 242 (G) 3. It created three tier panchayats at village, district and block level. 4. Empowerd panchayats of taxation and creating village counts.",0.9898,5
2.2,"Central Information commission laws formed under RJI Act 2005 : functions : 1. To take action suomot or a complaint for non compliance of RTI Act. 2. To repeat centre for working of RTI 3. To Punish, imprison, fine impose to corrupt officials. 4. Suggests agencies to work as per RTI. 5. Ask for public document.","Central Information commission laws formed under RJI Act 2005 : functions : 1. To take action suomot or a complaint for non compliance of RTI Act. 2. To repeat centre for working of RTI 3. To Punish, imprison, fine impose to corrupt officials. 4. Suggests agencies to work as per RTI. 5. Ask for public document.",1.0,5
2.3,"The political representation is the political actors that act as representatives chosen by public to work for them, act and speak for them. Key points mentioned: 1. Ensure democratic acceptance/participation 2. People's participation 3. Transparency and accountability 4. People's involvement in decision making 5. Fulfill constitutional objective 6. Uplifts underprivileged","The political representation is the political actors that act as representatives chosen by public to work for them, act and speak for them. Key points mentioned: 1. Ensure democratic acceptance/participation 2. People's participation 3. Transparency and accountability 4. People's involvement in decision making 5. Fulfill constitutional objective 6. Uplifts underprivileged",1.0,5
2.4,"The socialism of Ram Manohar Lohia is the 'principle of equality'. Its features are: 1. To ensure social equality by removal of discrimination, poverty, unemployment 2. Economic development by small units 3. Thanks-giving system 4. Synthesis - social, economic, cultural, educational, religion, educational, spiritual 5. Sarvodaya and Sawaraj (industrial)","The socialism of Ram Manohar Lohia is the 'principle of equality'. Its features are: 1. To ensure social equality by removal of discrimination, poverty, unemployment 2. Economic development by small units 3. Thanks-giving system 4. Synthesis - social, economic, cultural, educational, religion, educational, spiritual 5. Sarvodaya and Sawaraj (industrial)",1.0,5
2.5,"Sardar Patel is called ""Iron Man of India"" due to: 1. Assimilation of 565 princely states 2. He came up with instrument of Accession 3. He also used army for annexation 4. The territorial integrity and brotherhood ensured by his creation of All India Services 5. His created strong relations with Nehru, Nizams and British states as well 6. He ensured spiritual unity as well","Sardar Patel is called ""Iron Man of India"" due to: 1. Assimilation of 565 princely states 2. He came up with instrument of Accession 3. He also used army for annexation 4. The territorial integrity and brotherhood ensured by his creation of All India Services 5. His created strong relations with Nehru, Nizams and British states as well 6. He ensured spiritual unity as well",1.0,5
2.6,"Dr. Bhimrao Ramji Ambedkar said constitutional morality is must as per him - understanding: 1. The removal of discrimination and inequality should be first done by constitutional laws 2. The constitution can put obligation to not commit untouchability and violence 3. Social and economic security is done by laws 4. The women empowerment is must can be done by rules, laws, acts, constitutional chapters **","Dr. Bhimrao Ramji Ambedkar said constitutional morality is must as per him - understanding: 1. The removal of discrimination and inequality should be first done by constitutional laws 2. The constitution can put obligation to not commit untouchability and violence 3. Social and economic security is done by laws 4. The women empowerment is must can be done by rules, laws, acts, constitutional chapters",0.999,5
2.7,"Public Administration is the provision of citizen services under codes, laws and certain goals. * It's a subject that is developing * It has body of knowledge * It requires training and experience * It works upon a bureaucratic model * There is unity of command and span of control * Don't repeat same point Thus, it's not an art but a subject that's developing **","Public Administration is the provision of citizen services under codes, laws and certain goals. - It's a subject that is developing - It has body of knowledge - It requires training and experience - It works upon a bureaucratic model - There is unity of command and span of control - Don't repeat same point Thus, it's not an art but a subject that's developing",0.9865,5
2.8,"Unity of command means the subordinate should accept the order from the superior only. Importance: 1. It increases flexibility, clarity 2. More ordered, disciplined administration 3. Removes monopoly, confusions 4. Accountability and responsibility 5. Builds up superior subordinate relations 6. Better coordination, easy to determine leadership **","Unity of command means the subordinate should accept the order from the superior only. Importance: 1. It increases flexibility, clarity 2. More ordered, disciplined administration 3. Removes monopoly, confusions 4. Accountability and responsibility 5. Builds up superior subordinate relations 6. Better coordination, easy to determine leadership",0.9988,5
2.9,"As per Weber, Authority is of different types: 1. Classical - Depends upon position, not the person 2. Charismatic - That is due to power of person 3. Legal - As per laws, codes 4. Organizational authority - Given by organizational management **","As per Weber, Authority is of different types: 1. Classical - Depends upon position, not the person 2. Charismatic - That is due to power of person 3. Legal - As per laws, codes 4. Organizational authority - Given by organizational management",0.9986,5
2.10,**,,0.0,0
3.1,"(A) The decentralization of power was done by 73rd and 74th constitutional amendment Act 1993. This created the local self-governing bodies at village level - as Panchayati Raj institutions and at urban level - as Municipal bodies. This decentralization changed the governance level at grassroot levels in India - 1. Transfer of authority and power to local bureaucrats 2. Creation of village panchayat at three levels targeting each population - village, block, district 3. It ensured justifiable between local public and government in decision making 4. Solution of local problems by municipalities 5. Political decentralization by panchayat and municipal elections 6. Creation of local representatives and public participation Challenges to decentralization: 1. Ignorant population 2. Lack of women participation 3. Criminalization of politics 4. Poverty 5. Vote bank politics 6. Use of monetary flow during elections 7. Lack of transparency at village level Solutions: 1. Right to Information Act implementation 2. Use of digital seva 3. Use of postal complaints 4. Citizen charter, public service guarantee Conclusions: Thus, the decentralization process is ongoing in our modern democracy. It empowered our citizens and created social growth.","(A) The decentralization of power was done by 73rd and 74th constitutional amendment Act 1993. This created the local self-governing bodies at village level - as Panchayati Raj institutions and at urban level - as Municipal bodies. This decentralization changed the governance level at grassroot levels in India 1. Transfer of authority and power to local bureaucrats 2. Creation of village panchayat at three levels targeting each population - village, block, district 3. It ensured justifiable between local public and government in decision making 4. Solution of local problems by municipalities 5. Political decentralization by panchayat and municipal elections 6. Creation of local representatives and public participation Challenges to decentralization: 1. Ignorant population 2. Lack of women participation 3. Criminalization of politics 4. Poverty 5. Vote bank politics 6. Use of monetary flow during elections 7. Lack of transparency at village level Solutions: 1. Right to Information Act implementation 2. Use of digital seva 3. Use of postal complaints 4. Citizen charter, public service guarantee Conclusions: Thus, the decentralization process is ongoing in our modern democracy. It empowered our citizens and created social growth.",0.999,5
3.2,"(A) Media is a means of communication by printing newspapers, radio, T.V., social media etc. It's a platform that represents the information available to public using right to freedom of speech and expression, using media under Article 19(1)(a). Role of media: 1. It represent the government's policies to public and helps in better implementation 2. It acts as ethical guide to enlighten public about working of government 3. It creates relationship between public and government's political leader 4. It guides voting behaviour 5. It helps public to judge their representative and feels about the wrong doing, corruption, international relations, policies etc. Challenges of media: - Yellow journalism 1. Involvement of politics in media channel 2. Misinformation, scandalizing 3. Interference of media in person's privacy 4. Use of sensationalism in danger if they reveal corrupt practices of politics 5. Role of TRP, faster and fake news competition 6. Lack of sensitivity in representing cruel, violent information Thus media is the fourth pillar of democracy - due to its (existing) role in: - Making public aware - Providing information - Informed, empowered citizen - Choosing right representative - Increase points in this context Thus, the democratic nation like India needs media to create balance and construction between public and government, like it played during Covid-19 time.","(A) Media is a means of communication by printing newspapers, radio, T.V., social media etc. It's a platform that represents the information available to public using right to freedom of speech and expression, using media under Article 19(1)(a). Role of media: 1. It represent the government's policies to public and helps in better implementation 2. It acts as ethical guide to enlighten public about working of government 3. It creates relationship between public and government's political leader 4. It guides voting behaviour 5. It helps public to judge their representative and feels about the wrong doing, corruption, international relations, policies etc. Challenges of media: * Yellow journalism 1. Involvement of politics in media channel 2. Misinformation, scandalizing 3. Interference of media in person's privacy 4. Use of sensationalism in danger if they reveal corrupt practices of politics 5. Role of TRP, faster and fake news competition 6. Lack of sensitivity in representing cruel, violent information Thus media is the fourth pillar of democracy - due to its (existing) role in: * Making public aware * Providing information * Informed, empowered citizen * Choosing right representative * Increase points in this context Thus, the democratic nation like India needs media to create balance and construction between public and government, like it played during Covid-19 time.",0.9981,5
3.3,"Manatma Gandhi is often known as the ""father of our nation"" as he turned the nation straggle into mass struggle through his constructive program. His ideologies are very much relevant in present day politics: 1. (Non violence) - It's important for preventing wars like Russia-Ukraine; India- pakistan over kashmir, that jolts the worlds economy 2. (Sarvodaya) - The equivalent distribution of resources and targeting BPL population by present government through - Awas yojana etc. 3. (Cleanliness) - Through Swach Bharat, and also the world's facing climate change. Global warning all needs Gandhijis cleanliness ideology. 4. Democratic decentralisation - It's done by creation of DRI and muncipalities. 5. Economic development - As per Gandhijis there is need of small scale **Answer:** unit development which is still needed by our political leaders. 6. There should be involvement of people at each level for political decentralisation which is required today. 7. At world politics, Gandhian philosophy of peace and coordination is still required and used. 8. The policy implementation of government can be done better if the political campaign focus upon gandhian program of local village development, empowerment of women. 9. Gandhiji was against the use of reservation and today it is used in politics as vote bank. Thus, it can be said that his ideologies helped not only India but the whole world to create a non-violent state.","Manatma Gandhi is often known as the ""father of our nation"" as he turned the nation straggle into mass struggle through his constructive program. His ideologies are very much relevant in present day politics: 1. (Non violence) - It's important for preventing wars like Russia-Ukraine; India- pakistan over kashmir, that jolts the worlds economy 2. (Sarvodaya) - The equivalent distribution of resources and targeting BPL population by present government through - Awas yojana etc. 3. (Cleanliness) - Through Swach Bharat, and also the world's facing climate change. Global warning all needs Gandhijis cleanliness ideology. 4. Democratic decentralisation - It's done by creation of DRI and muncipalities. 5. Economic development - As per Gandhijis there is need of small scale **unit development which is still needed by our political leaders.** **6. There should be involvement of people at each level for political decentralisation which is required today.** **7. At world politics, Gandhian philosophy of peace and coordination is still required and used.** **8. The policy implementation of government can be done better if the political campaign focus upon gandhian program of local village development, empowerment of women.** **9. Gandhiji was against the use of reservation and today it is used in politics as vote bank.** **Thus, it can be said that his ideologies helped not only India but the whole world to create a non-violent state.** **",0.9893,5
3.4,"- As per scholar Luther Gullick and Lyndell Urwick the public administration acts differently in developed and developing nation but its the serving of government bureaucrats for public. In developed societies. Its features are - 1. Its goal oriented and market based 2. It's a facilitation rather than foes. 3. Its far more modern, techno- oriented. 4. It works for the competition, economic market balance. Role :- 1. It focuses upon global challenges - tourism, migration and climate change 2. provide high level of infrastructure - power, transportation , techno - oriented skilled man power. 3. It focuses upon market government. Challanges: 1. It doesn't depend on strict rules 2. Socio- economic development is not priority. 3. More corruption, global tension. Its features in developing society:- 1. It's a doer and provides facilities of government. 2. It client oriented - focus on socio- economic development, removal of poverty. 3. It's change oriented and works on decentralised manner. Role:- 1. To provide and implement government services. 2. Empower citizens, tackle social evils. 3. Working in hierarchial manner to provide benefits- housing, water, scholarships etc **Challenges:** 1. Corruption, rigid bureaucratic model. 2. Lack of citizen interaction. 3. Lack of technical skill Thus, both societies have their own level of administration, but the work of public administration is same to provide quoted services.","- As per scholar Luther Gullick and Lyndell Urwick the public administration acts differently in developed and developing nation but its the serving of government bureaucrats for public.** **In developed societies. Its features are -** **1. Its goal oriented and market based** **2. It's a facilitation rather than foes.** **3. Its far more modern, techno- oriented.** **4. It works for the competition, economic market balance.** **Role :-** **1. It focuses upon global challenges - tourism, migration and climate change** **2. provide high level of infrastructure - power, transportation , techno - oriented skilled man power.** **3. It focuses upon market government.** **Challanges:** **1. It doesn't depend on strict rules** **2. Socio- economic development is not priority.** **3. More corruption, global tension.** **Its features in developing society:-** **1. It's a doer and provides facilities of government.** **2. It client oriented - focus on socio- economic development, removal of poverty.** **3. It's change oriented and works on decentralised manner.** **Role:-** **1. To provide and implement government services.** **2. Empower citizens, tackle social evils.** **3. Working in hierarchial manner to provide benefits- housing, water, scholarships etc** **Challenges:** 1. Corruption, rigid bureaucratic model. 2. Lack of citizen interaction. 3. Lack of technical skill Thus, both societies have their own level of administration, but the work of public administration is same to provide quoted services.",0.934,5
3.5,"According to George Gant, the new public management is the synthesis of public and private administration and it's more market oriented goal oriented. It looks the administration in managerial point of view. Development of New public management:- 1. It developed when the various countries were suffering and lacking in the working of their traditional public administration. 2. It was given by various scholars in their books and also suggested by united nations to work upon such method. which is - market and synthesized model. Principles and efforts of new public management: 1. It's market oriented and works in competitive manner to provide satisfactory citizen services. 2. It provides flexible working conditions. 3. The organisational structure is simplified, hierarchy is flattened. 4. It provides user pay base services of high quality. 5. It takes what and when from public administration and How from private. 6. It works upon goal and works for socio economic development. 7. It's more dynamic, competitive and innovative. 8. It more technically advanced. 9. It solves the public problems immediately. Thus new public management is the need of current bureaucratic model. **Public Administration is the process of citizen services under codes, laws and certain goals.** * It's a subject that is developing * It has body of knowledge. * It requires training and experience. * It works upon a bureaucratic model. * There is unity of command and span of control. * Don't repeat same point * Thus, it's not an art but a subject that's developing. **What do you understand by unity of command? Discuss its importance.** * Unity of command means the subordinate should accept the orders from the superior only. * **Importance** * It increases flexibility, clarity. * More ordered, disciplined administration. * Removes monopoly, confusions. * Accountability and responsibility. * Builds up superior-subordinate relations. * Better coordination. * Easy to determine leadership. Public Administration is the provision of citizen services under codes, laws and certain goals. It's a subject that is developing. It has body of knowledge. It requires training and experience. It works as a bureaucratic model. There is unity of command and span of control. Don't repeat same point. Thus, it's not an art but a subject that's developing. Unity of command means the subordinate should accept the orders from the superior only. Importance 1. It increases flexibility, clarity. 2. More ordered, disciplined administration. 3. Removes monopoly, confusions. 4. Accountability and responsibility. 5. Builds up superior-subordinate relations. 6. Better coordination. Easy to determine leadership. As per Weber Authority is of different types - 1. Classical - Depends upon position not the person. 2. Charismatic - That is due to power of person. 3. Legal - As per laws, codes. 4. Bureaucratic authority - given by official position management. Explain the importance of comparative public administration. The decentralization of power was done by 73rd and 74th constitutional amendment Act 1993. This created the local self governing bodies at village level - as panchayati Raj Institutions and at urban level - as municipal bodies. This decentralization changed the governance level at grass root level in India. (1) Transfer of authority and power to local bureaucrats (2) Creation of village panchayat at three levels targeting each population - village, block, district. (3) It created syntheses between local public and government in decision making. **Section-A** **3.1 Continued (जारी)** 4. Solution of local problems by municipalities 5. political decentralization by panchayat and municipal elections. 6. Creation of local representatives and public participation. **Challenges to decentralization:** 1. Ignorant population 2. Lack of women participation 3. Criminalization of politics 4. Poverty 5. Vote bank politics. 6. Use of monetary flow during elections 7. Lack of transparency at village level. **Solutions:** 1. Right to Information Act implementation 2. Use of digital seva 3. Web portal complaints 4. Citizen charter, public service guarantee **Conclusion:** Thus, the decentralization process is on going in our modern democracy. It empowered our citizens and created social growth. **Step 1: Identify the English Text** The English text in the image is located at the top and bottom sections of the page. The top section contains the title ""SECTION-A"" and some instructions, while the bottom section contains the answers to the questions. **Step 2: Extract the English Text** The extracted English text is as follows: * SECTION-A * Discussing the role and challenges of media in democracy. Evaluate it as the fourth pillar of democracy. * Amendments in the Right to Information Act will have a serious impact on the autonomy and independence of the Information Commission. Discuss. * Role of media: + It represents the government's policies to public and helps in better implementation. + It acts as a thick guide to enlighten public about working of government. + It creates relationship between public and government's political leader. + It guides voting behavior. + It helps public to judge their representative and tells about the wrong doing, corruption, international relations, policies etc. **Step 3: Format the Extracted Text** The extracted text should be formatted exactly as it appears in the image, with the same structure and layout. **Conclusion** The extracted English text from the image is as follows: SECTION-A Discussing the role and challenges of media in democracy. Evaluate it as the fourth pillar of democracy. Amendments in the Right to Information Act will have a serious impact on the autonomy and independence of the Information Commission. Discuss. Role of media: It represents the government's policies to public and helps in better implementation. It acts as a thick guide to enlighten public about working of government. It creates relationship between public and government's political leader. It guides voting behavior. It helps public to judge their representative and tells about the wrong doing, corruption, international relations, policies etc. Challenges of media: 1. Yellow journalism. 2. Misinformation, scandalizing. 3. Interference of media in person lives. 4. Life of journalist is in danger if they reveal corrupt practices of politics. 5. Role of TRP, faster and fake news competition. 6. Lack of sensitivity. In representing cruel, violent information. Thus media is the fourth pillar of democracy due to its seminal role in: 1. Making public aware. 2. Providing information. 3. Informed, empowered citizen. 4. Chasing right representative. 5. Increase points in this context. Thus, the democratic notion like India needs media to create balance and coordination between public and government, like it played during covid-19 time. Mahatma Gandhi is often known as the 'father of our nation' as he turned the national struggle into mass struggle through his constructive programs. His ideologies are very much relevant in present day politics. 1) Non violence - It's important for preventing wars like Russia - Ukraine, India - Pakistan over Kashmir, that jolts the world's economy. 2) Sarvodaya - The equitable distribution of resources and targeting BPL population by present government through - Awas yojana etc. 3) Cleanliness - Things, swach Bharat Abhiyan, and also the world's facing climate change, Global warming all needs Gandhi's cleanliness. The extracted text from the image is as follows: **Section-A** Democratic decentralization - It's done by creation of PRI and municipalities. Economic development - As per gandhiji there is need of small scale unit development which is still needed. by our political leaders. There should be involvement of people at each level for political decentralization which is required today. At world politics Gandhian philosophy of peace and coordination is still required. and used. The policy implementation of government can be done better if the political campaigns focus upon gandhian program of local village development, empowerment of women. Gandhiji was against the use of terrorism and today its used in politics as vote bank. Thus, it can be said that his ideologies helped not only India but whole world to create a non-violent state. **SECTION-A** **As per scholars Luther Gullick and Lyndall Urwick the public administration acts differently in developed and developing nations but its the serving of government bureaucrats for public.** **In developed societies its features are:** 1. **Its goal oriented and market based** 2. **Its a facilitator rather than does** 3. **Its far more modern, techno-oriented.** 4. **It works for the competitor, economic market balance.** **Role:** 1. **It focuses upon global challenge - terrorism, migration, climate change.** 2. **Provide high level of infra - power, transportation, techno-oriented skilled manpower.** 3. **It focuses upon market government.** **Challenges:** * It doesn't depend on strict rules. * Socio-economic development is not priority. * More corrupta, global terrorism & prof. rhee. **Its features in developing society:-** * It's a does and provides facilities of government. * It client oriented - focus on socio-economic development, removal of poverty. * It's change oriented and works on decentralised manner. **Rele:-** * To provide and implement government services. * Empower citizens, tackle social evils. * Working in hierarchical manner to provide Benefits - housing, water, scholarships etc. **Avoid using some challenges:-** * Corruptas, rigid bureaucratic model. * Lack of citizen integration. * Lack of technical skill. Thus, both societies have their own level of administration. But the way of public administration is same to provide quoted services. According to George Gant, the new public management is the synthesis of public and private administration and it's more market oriented, goal oriented. It cots the administration in managerial point of view. Development of New public management: emerged in 19 year. It developed when the nations countries were suffering and lacking in the working of their traditional public administration. It was given by nations scholars in their books and also suggested by long sentences united nations to work upon such method. which is - market and synthesized model. **SECTION-A** **खंड-अ** **PAGE NO. - 20** **principle and efforts of new public management :** 1. Its market oriented and works on competitive manner to provide satisfactory citizen services. 2. It provides flexible working conditions. 3. The organizational structure is simplified, hierarchy is flattened. 4. It provides user pay basic services of high quality. 5. It takes what and when from public administration and How from private. 6. It works upon goal and works for socio-economic development. 7. It's more dynamic, competitive and innovative. 8. It more technically advanced. 9. It solves the public problems immediately. Thus new public management is the need of current bureaucratic model. **Conclusion** **3.4 line**","According to George Gant, the new public management is the synthesis of public and private administration and it's more market oriented goal oriented. It looks the administration in managerial point of view. Development of New public management:- 1. It developed when the various countries were suffering and lacking in the working of their traditional public administration. 2. It was given by various scholars in their books and also suggested by united nations to work upon such method. which is - market and synthesized model. Principles and efforts of new public management: 1. It's market oriented and works in competitive manner to provide satisfactory citizen services. 2. It provides flexible working conditions. 3. The organisational structure is simplified, hierarchy is flattened. 4. It provides user pay base services of high quality. 5. It takes what and when from public administration and How from private. 6. It works upon goal and works for socio economic development. 7. It's more dynamic, competitive and innovative. 8. It more technically advanced. 9. It solves the public problems immediately. Thus new public management is the need of current bureaucratic model.",0.9821,5
